検索キー,医療機関名,正規化住所,郵便番号,電話番号,オンライン予約用ページアドレス,相談センター等からの紹介,自院患者,濃厚接触者,小児,妊婦,区市町村,行政コード,大字,それ以降の住所,ビル名・階数・部屋番号,PCR,抗原定量,抗原定性,鼻咽頭,鼻腔,唾液,その他,月（午前）,月（午後）,火（午前）,火（午後）,水（午前）,水（午後）,木（午前）,木（午後）,金（午前）,金（午後）,土（午前）,土（午後）,日（午前）,日（午後）,対応できる外国語,診療検査日時が祝日の場合,それ以降の住所
医療法人社団 松原内科医院羽東1-16-3,医療法人社団 松原内科医院,東京都羽村市羽東1-16-3,205-0014,042-554-2427,,1,1,1,1,1,羽村市,13227,羽東,1-16-3,,1,,1,1,,,,9:00~12:00,15:15~18:30,9:00~12:00,16:00~18:30,9:00~12:00,16:00~18:30,9:00~12:00,15:15~18:30,9:00~12:00,15:15~18:30,9:00~12:00,,,,,,羽東1-16-3
くれもとクリニック北葛西4-1-45カーサ控井102号,くれもとクリニック,東京都江戸川区北葛西4-1-45カーサ控井102号,134-0081,03-5658-8777,,1,1,1,1,1,江戸川区,13123,北葛西,4-1-45カーサ控井102号,,1,,1,,1,1,,11:30~12:30,,11:30~12:30,,11:30~12:30,,,,11:30~12:30,,,,,,,,北葛西4-1-45カーサ控井102号
医療法人社団 静朗会 千葉医院千石1-6-16ライズヒル千石101,医療法人社団 静朗会 千葉医院,東京都文京区千石1-6-16ライズヒル千石101,112-0011,03-3941-1340,,,1,,,1,文京区,13105,千石,1-6-16ライズヒル千石101,,1,,,1,,1,,10:00~12:00,,10:00~12:00,,,,10:00~12:00,,10:00~12:00,,11:00~12:00,,,,なし,,千石1-6-16ライズヒル千石101
医療法人社団救人会 東青梅診療所東青梅1-7-5,医療法人社団救人会 東青梅診療所,東京都青梅市東青梅1-7-5,198-0042,0428-25-8651,,1,1,1,1,1,青梅市,13205,東青梅,1-7-5,,1,1,1,1,1,1,,11:15~12:00,14:00~18:00,,14:00~18:00,,,11:15~12:00,14:30~15:00,11:15~12:00,14:30~15:00,11:15~12:00,,,,なし 日本語のみ,,東青梅1-7-5
医療法人社団樹の実会　あきのこどもクリニック栄町1-5-11-1階,医療法人社団樹の実会　あきのこどもクリニック,東京都日野市栄町1-5-11-1階,191-0001,042-581-2525,,,1,,2,,日野市,13212,栄町,1-5-11-1階,,1,,1,1,1,1,,9:00~12:00,14:30~17:30,,14:30~17:00,9:00~12:00,14:30~17:00,,,9:00~12:00,,9:00~12:00,,,,,,栄町1-5-11-1階
医療法人社団健優会　三宅小児科上北沢4-21-13,医療法人社団健優会　三宅小児科,東京都世田谷区上北沢4-21-13,156-0057,web予約,http://paa.jp/clinic/389801/,1,1,,1,,世田谷区,13112,上北沢,4-21-13,,,,1,1,1,,,8:00~12:00,13:30~17:30,8:00~12:00,13:30~17:30,8:00~12:00,13:30~17:30,8:00~12:00,,8:00~12:00,13:30~17:30,8:00~12:00,,,,,,上北沢4-21-13
湯川リウマチ内科クリニック境南町３－１４－６ 山桃ビル3階,湯川リウマチ内科クリニック,東京都武蔵野市境南町３－１４－６ ,180-0023,0422-31-1155,,,1,,1,1,武蔵野市,13203,境南町,３－１４－６ ,山桃ビル3階,1,,,,,1,,12:30~13:00,13:00~13:30,12:30~13:00,13:00~13:30,,,12:30~13:00,13:00~13:30,12:30~13:00,13:00~13:30,,,,,,,境南町３－１４－６ 山桃ビル3階
牛込台さこむら内科中町23 さこむら内科,牛込台さこむら内科,東京都新宿区中町23 ,162-0835,03-3269-1783,,1,1,,1,1,新宿区,13104,中町,23 ,さこむら内科,1,,1,1,1,1,,9:00~12:00,15:00~17:00,9:00~12:00,15:00~17:00,9:00~12:00,15:00~15:00,9:00~12:00,15:00~17:00,9:00~12:00,15:00~17:00,9:00~12:00,,,,英語,,中町23 さこむら内科
田園調布呼吸器・内科クリニック田園調布1-1-17,田園調布呼吸器・内科クリニック,東京都大田区田園調布1-1-17,145-0071,03-6662-6711,,1,1,1,,,大田区,13111,田園調布,1-1-17,,1,,1,1,1,1,,9:00~12:00,15:00~18:00,9:00~12:00,15:00~18:00,9:00~12:00,15:00~18:00,9:00~12:00,,9:00~12:00,15:00~18:00,9:00~12:00,,,,英語,,田園調布1-1-17
池袋東口まめクリニック東池袋１－１２ー10 ヤンズビル7階,池袋東口まめクリニック,東京都豊島区東池袋１－１２ー10 ,170-0013,web予約,https://reza.3bees.com/p/8bdd/online_reservations,1,1,1,1,,豊島区,13116,東池袋,１－１２ー10 ,ヤンズビル7階,1,,,1,1,1,,10:00~14:00,16:00~22:00,10:00~14:00,16:00~22:00,10:00~14:00,16:00~22:00,10:00~14:00,16:00~22:00,10:00~14:00,16:00~22:00,,13:00~18:00,10:00~12:30,13:30~18:00,,1,東池袋１－１２ー10 ヤンズビル7階
千代田加賀クリニック神田神保町1-35-14,千代田加賀クリニック,東京都千代田区神田神保町1-35-14,101-0051,03-3291-9951,,,1,,1,1,千代田区,13101,神田神保町,1-35-14,,,,1,,1,,,9:30~12:30,16:00~17:30,9:30~12:30,16:00~17:30,9:30~12:30,16:00~17:30,9:30~12:30,16:00~17:30,9:30~12:30,16:00~17:30,9:30~12:30,,,,,,神田神保町1-35-14
メディカル新中野中央4-5-2 ブルースカイ新中野1F,メディカル新中野,東京都中野区中央4-5-2 ,164-0011,03-3383-3454,,1,1,,2,,中野区,13114,中央,4-5-2 ,ブルースカイ新中野1F,,,1,,1,,,9:00~11:00,,,,9:00~11:00,16:00~18:00,9:00~11:00,16:00~18:00,9:00~11:00,16:00~18:00,9:00~12:00,,9:00~12:00,,対応できません,1,中央4-5-2 ブルースカイ新中野1F
医療法人社団 等々力内科クリニック等々力8-24-14,医療法人社団 等々力内科クリニック,東京都世田谷区等々力8-24-14,158-0082,03-3702-5425,,,1,,,,世田谷区,13112,等々力,8-24-14,,1,,1,1,,1,,10:00~12:00,15:00~18:00,10:00~12:00,15:00~18:00,10:00~12:00,15:00~18:00,10:00~12:00,,10:00~12:00,15:00~18:00,10:00~12:00,,,,,,等々力8-24-14
"医療法人社団天裕会のぞみクリニック築地築地7-11-5　中銀ベル築地マンシオン2階","医療法人社団天裕会のぞみクリニック築地",東京都中央区築地7-11-5　,104-0045,03-6260-6008,https://www.hope-medical.jp/#/,1,1,1,,,中央区,13102,築地,7-11-5　,中銀ベル築地マンシオン2階,1,,1,,1,,,,14:30~16:30,,14:30~16:30,,,,14:30~16:30,,14:30~16:30,11:00~12:00,0:00~13:30,,,中国,,築地7-11-5　中銀ベル築地マンシオン2階
ウェルネストクリニック道玄２－３－２大外ビル3階,ウェルネストクリニック,東京都渋谷区道玄２－３－２大外ビル3階,150-0043,０３－６７３２－６００１,,1,1,1,1,,渋谷区,13113,道玄,２－３－２大外ビル3階,,1,1,,1,,1,,10:00~14:00,15:00~19:00,10:00~14:00,15:00~19:00,10:00~14:00,15:00~19:00,10:00~14:00,15:00~19:00,10:00~14:00,15:00~19:00,10:00~14:00,15:00~19:00,10:00~14:00,,英語,,道玄２－３－２大外ビル3階
野原耳鼻咽喉科医院千住旭町39-11,野原耳鼻咽喉科医院,東京都足立区千住旭町39-11,120-0026,03-3870-2022,,1,1,1,1,1,足立区,13121,千住旭町,39-11,,1,,1,1,1,1,,9:00~12:00,15:00~18:00,9:00~12:00,15:00~18:00,,,9:00~12:00,15:00~18:00,9:00~12:00,15:00~18:00,9:00~12:00,,,,,,千住旭町39-11
医療法人社団 小泉医院玉川学園2-5-24,医療法人社団 小泉医院,東京都町田市玉川学園2-5-24,194-0041,042-725-8411,,1,1,,1,1,町田市,13209,玉川学園,2-5-24,,,,1,1,,,,,12:00~14:00,,12:00~14:00,,12:00~14:00,,,,12:00~14:00,,12:00~14:00,,,,,玉川学園2-5-24
医療法人社団おおぞら会つばさクリニック小平美園町２－６－２,医療法人社団おおぞら会つばさクリニック小平,東京都小平市美園町２－６－２,187-0041,042-312-3556,,,1,,,,小平市,13211,美園町,２－６－２,,,,1,1,1,1,,9:00~12:00,13:00~18:00,9:00~12:00,13:00~18:00,9:00~12:00,13:00~18:00,9:00~12:00,13:00~18:00,9:00~12:00,13:00~18:00,9:00~12:00,13:00~18:00,,,,1,美園町２－６－２
医療法人社団 宮下医院大谷口北町76-7,医療法人社団 宮下医院,東京都板橋区大谷口北町76-7,173-0031,03-3956-5349,,1,1,1,1,1,板橋区,13119,大谷口北町,76-7,,1,,1,1,1,1,,9:00~12:00,13:15~18:00,9:00~12:00,13:15~18:00,9:00~12:00,13:15~18:00,9:00~12:00,13:15~18:00,9:00~12:00,13:15~18:00,9:00~12:00,13:15~14:00,,,,,大谷口北町76-7
医療法人社団 泰大会 薬師台おはなぽっぽクリニック薬師台1-25-12 薬師台メディカルテラス,医療法人社団 泰大会 薬師台おはなぽっぽクリニック,東京都町田市薬師台1-25-12 ,195-0073,042-737-7373,,1,1,1,1,1,町田市,13209,薬師台,1-25-12 ,薬師台メディカルテラス,1,,1,1,1,,,9:00~12:00,15:00~18:00,9:00~12:00,15:00~18:00,9:00~12:00,,9:00~12:00,15:00~18:00,9:00~12:00,15:00~18:00,,,,,,,薬師台1-25-12 薬師台メディカルテラス
"医療法人社団敦保会　エリゼこどもクリニック大島1-2-2　ザ・ガーデンタワーズサンセットタワー102",医療法人社団敦保会　エリゼこどもクリニック,東京都江東区大島1-2-2　,136-0072,web予約,http://erize.byoinnavi.jp/,1,1,,2,,江東区,13108,大島,1-2-2　,"ザ・ガーデンタワーズサンセットタワー102",1,,1,,1,,,11:00~12:30,16:30~18:00,11:00~12:30,16:30~18:00,11:00~12:30,16:30~18:00,11:00~12:30,16:30~18:00,11:00~12:30,16:30~18:00,,12:00~12:30,,,,,"大島1-2-2　ザ・ガーデンタワーズサンセットタワー102"
野村医院前原町3-35-15,野村医院,東京都小金井市前原町3-35-15,184-0013,042-381-0987,,1,1,,,,小金井市,13210,前原町,3-35-15,,1,,1,1,1,,,12:30~13:30,16:00~17:00,12:30~13:30,,12:30~13:30,16:00~17:00,,,12:30~13:30,16:00~17:00,12:00~13:00,,,,,,前原町3-35-15
高山クリニック中延5-4-１１クレサンテームⅠ１階,高山クリニック,東京都品川区中延5-4-１１クレサンテームⅠ１階,142-0053,03-5750-0078,,,1,,,,品川区,13109,中延,5-4-１１クレサンテームⅠ１階,,1,1,1,1,1,1,,12:00~13:00,18:00~19:00,12:00~13:00,18:00~19:00,12:00~13:00,,12:00~13:00,18:00~19:00,12:00~13:00,18:00~19:00,12:00~13:00,,,,日本語,,中延5-4-１１クレサンテームⅠ１階
医療法人社団 鉄医会　ナビタスクリニック立川柴崎町3-1-1 エキュート立川4階,医療法人社団 鉄医会　ナビタスクリニック立川,東京都立川市柴崎町3-1-1 ,190-0023,042-521-5334,,,1,,1,1,立川市,13202,柴崎町,3-1-1 ,エキュート立川4階,1,,1,1,,,,10:00~13:00,15:00~20:00,10:00~13:00,15:00~20:00,10:00~13:00,15:00~20:00,10:00~13:00,15:00~20:00,10:00~13:00,15:00~20:00,10:00~13:00,13:00~16:00,,,,,柴崎町3-1-1 エキュート立川4階
いいむろ内科クリニック太子堂3-28-16,いいむろ内科クリニック,東京都世田谷区太子堂3-28-16,154-0004,03-3487-1166,,1,1,,,,世田谷区,13112,太子堂,3-28-16,,,,1,1,1,,,9:00~12:00,15:00~17:30,9:00~12:00,15:00~17:30,9:00~12:00,15:00~17:30,,,9:00~12:00,15:00~17:30,9:00~12:00,12:00~15:30,,,,,太子堂3-28-16
白金三光クリニック白金１－２５－３１ レジデンス白金１０２,白金三光クリニック,東京都港区白金１－２５－３１ ,108-0072,03-6456-4350,,1,1,1,1,,港区,13103,白金,１－２５－３１ ,レジデンス白金１０２,1,,1,1,,1,,11:30~12:30,17:00~19:00,11:30~12:30,17:00~19:00,11:00~12:30,17:00~19:00,11:30~12:30,17:00~19:00,11:30~12:30,17:00~19:00,11:30~12:30,,,,,,白金１－２５－３１ レジデンス白金１０２
康明会荻窪クリニック荻窪5-15-17 グランデアコール101,康明会荻窪クリニック,東京都杉並区荻窪5-15-17 ,167-0051,03-5347-0188,,1,1,1,1,1,杉並区,13115,荻窪,5-15-17 ,グランデアコール101,1,,1,1,1,1,,,16:00~18:00,,16:00~18:00,,16:00~18:00,,16:00~18:00,,,,16:00~18:00,,,,1,荻窪5-15-17 グランデアコール101
まがり医院荒木町6-34,まがり医院,東京都新宿区荒木町6-34,160-0007,03-5362-5531,,1,1,,,,新宿区,13104,荒木町,6-34,,1,,1,1,1,1,,11:00~13:00,16:00~18:40,11:00~13:00,16:00~18:40,11:00~13:00,16:00~18:40,11:00~13:00,16:00~18:40,,,11:00~13:10,,,,一律不可。,,荒木町6-34
むさしの台ファミリークリニック白糸台4-9-1 クリニックモールむさしの台1階103,むさしの台ファミリークリニック,東京都府中市白糸台4-9-1 ,183-0011,web予約,無,1,1,1,1,1,府中市,13206,白糸台,4-9-1 ,クリニックモールむさしの台1階103,1,1,1,1,1,,,9:00~12:00,14:00~18:00,9:00~12:00,14:00~18:00,,,9:00~12:00,14:00~18:00,9:00~12:00,14:00~18:00,9:00~13:00,,,,英語　中国語,,白糸台4-9-1 クリニックモールむさしの台1階103
酒寄医院東大井2-26-3,酒寄医院,東京都品川区東大井2-26-3,140-0011,03-3761-3250,,1,1,,1,,品川区,13109,東大井,2-26-3,,1,,1,1,1,1,,9:00~13:00,17:00~19:00,9:00~13:00,17:00~19:00,,,9:00~13:00,17:00~19:00,9:00~13:00,17:00~19:00,9:00~13:00,,,,,,東大井2-26-3
富士森内科みなみのクリニック西片倉3-1-21第1みなみ野クリニックセンター2F,富士森内科みなみのクリニック,東京都八王子市西片倉3-1-21第1みなみ野クリニックセンター2F,192-0917,042-635-6711,,1,1,,1,1,八王子市,13201,西片倉,3-1-21第1みなみ野クリニックセンター2F,,1,1,1,1,1,1,,,,,,,,11:00~12:00,17:00~18:00,,,8:00~12:00,,,,,,西片倉3-1-21第1みなみ野クリニックセンター2F
あさの循環器内科クリニック寿町１-４-２１第３福井ビル２階,あさの循環器内科クリニック,東京都府中市寿町１-４-２１第３福井ビル２階,183-0056,042-366-5555,,,1,,,,府中市,13206,寿町,１-４-２１第３福井ビル２階,,1,,1,,1,1,,9:00~12:00,,9:00~12:00,,9:00~12:00,,,,9:00~12:00,,9:00~12:00,,,,,,寿町１-４-２１第３福井ビル２階
横山高円寺南医院高円寺南４－２９－９　第三穴吹ビル１階,横山高円寺南医院,東京都杉並区高円寺南４－２９－９　,166-0003,03-6413-1097,https://ver2.yoyakuru.net/rs/yokoyama-koenji/web/,,1,,1,1,杉並区,13115,高円寺南,４－２９－９　,第三穴吹ビル１階,1,,1,1,1,,,10:00~12:00,16:00~18:00,10:00~12:00,16:00~18:00,10:00~12:00,16:00~18:00,,,10:00~12:00,16:00~18:00,10:00~12:00,,,,外国語対応なし,,高円寺南４－２９－９　第三穴吹ビル１階
みわこ耳鼻咽喉科祖師谷3-33-8 D&Uビル2階,みわこ耳鼻咽喉科,東京都世田谷区祖師谷3-33-8 ,157-0072,03-3789-8317,,1,1,,,,世田谷区,13112,祖師谷,3-33-8 ,D&Uビル2階,,,,,,,,12:30~14:00,17:30~19:00,12:30~14:00,17:30~19:00,,,12:30~14:00,17:30~19:00,12:30~14:00,17:30~19:00,,,,,,,祖師谷3-33-8 D&Uビル2階
羽村相互診療所神明台1-30-5,羽村相互診療所,東京都羽村市神明台1-30-5,205-0023,042-554-5420,小児対応が不可の日もあり、要連絡。,,1,,1,,羽村市,13227,神明台,1-30-5,,1,,1,,1,1,,8:50~12:00,,8:50~12:00,,8:50~12:00,,,,9:00~12:00,,,,,,,,神明台1-30-5
こうえんじ耳鼻咽喉科高円寺北2-3-3-7階,こうえんじ耳鼻咽喉科,東京都杉並区高円寺北2-3-3-7階,166-0002,0353563330,,,1,,1,,杉並区,13115,高円寺北,2-3-3-7階,,,,,,,,,,,,,,,,,,,,,,,なし,,高円寺北2-3-3-7階
双葉町クリニック双葉町12-17,双葉町クリニック,東京都板橋区双葉町12-17,173-0011,03-3961-8060,,1,1,,1,1,板橋区,13119,双葉町,12-17,,1,,,1,1,1,,11:30~13:00,15:00~15:30,11:30~12:00,,11:30~13:00,15:00~15:30,,,11:30~13:00,15:00~15:30,12:00~12:30,,,,日本語のみ,,双葉町12-17
"セキこどもクリニック阿佐谷南2-1-27","セキこどもクリニック",東京都杉並区阿佐谷南2-1-27,166-0004,03-3318-1625,,,1,,1,1,杉並区,13115,阿佐谷南,2-1-27,,,,,,,,,9:00~11:50,15:00~17:50,9:00~11:50,15:00~17:50,,,9:00~11:50,15:00~17:50,9:00~11:50,15:00~17:50,9:00~11:50,,,,英語,,阿佐谷南2-1-27
きつかわクリニック芝５－３１－１６ YCCビル4階,きつかわクリニック,東京都港区芝５－３１－１６ ,108-0014,03-3451-1731,,,1,,,,港区,13103,芝,５－３１－１６ ,YCCビル4階,1,,1,,1,1,,12:00~13:00,,12:00~13:00,,12:00~13:00,,,,12:00~13:00,,,,,,,,芝５－３１－１６ YCCビル4階
医療法人社団豊越会　こうの内科クリニック東大井5-11-2　K-１１ビル１階,医療法人社団豊越会　こうの内科クリニック,東京都品川区東大井5-11-2　,152-0011,03-6712-8750,,1,1,,1,1,品川区,13109,東大井,5-11-2　,K-１１ビル１階,,,,,,,,9:00~12:00,15:00~18:00,9:00~12:00,15:00~18:00,9:00~12:00,15:00~18:00,,,9:00~12:00,15:00~18:00,9:00~12:00,,,,,,東大井5-11-2　K-１１ビル１階
医療法人社団宗仁会　一之江駅前ひまわり医院一之江8-15-1 エクセル一之江2階,医療法人社団宗仁会　一之江駅前ひまわり医院,東京都江戸川区一之江8-15-1 ,132-0024,03-5662-8711,,1,1,1,1,1,江戸川区,13123,一之江,8-15-1 ,エクセル一之江2階,1,,1,1,,,,10:30~12:30,12:30~16:30,10:30~12:30,12:30~16:30,,,10:30~12:30,12:30~16:30,10:30~12:30,12:30~16:30,,,,,英語、日本語,,一之江8-15-1 エクセル一之江2階
ほりうちクリニック関前5-8-10,ほりうちクリニック,東京都武蔵野市関前5-8-10,180-0014,0422-38-8770,,1,1,1,1,1,武蔵野市,13203,関前,5-8-10,,1,,1,1,1,1,,9:00~12:30,14:00~17:30,9:00~12:30,14:00~17:30,9:00~12:30,14:00~17:30,,,9:00~12:30,14:00~17:30,9:00~12:30,,,,,,関前5-8-10
秋葉原あつたアレルギー呼吸器内科クリニック神田岩本町1-5 清水ビル6階,秋葉原あつたアレルギー呼吸器内科クリニック,東京都千代田区神田岩本町1-5 ,101-0033,03-3253-4159,,,1,,,,千代田区,13101,神田岩本町,1-5 ,清水ビル6階,1,,1,1,,1,,,14:00~15:00,,14:00~15:00,,13:30~15:00,,14:00~15:00,,14:00~15:00,,,,,,,神田岩本町1-5 清水ビル6階
